english_title,japanese_title,producer,serial,date,category
Kentou-Ou World Champion,ワールドチャンピオン 拳闘王,ソフエル / Sofel,SHVC-BX,1992-04-28,Sports / Boxing
Super Shanghai - Dragon's Eye,スーパー上海ドラゴンズアイ,ホット・ビィ / 元気 / アクティビジョン / HOT-B / Genki / Activision,SHVC-DE,1992-04-28,Table Game
F-1 Grand Prix,F1グランプリ,ビデオシステム / Video System,SHVC-FG,1992-04-28,Sports / Formula Racing (競馬)
Battle Blaze,バトルブレイズ,サミー / Sammy,SHVC-BZ / SNS-BZ,1992-05-01 / 1993-12-01,Fighting / Weapons
Kouryuu Densetsu Villgust - Kieta Shoujo,甲竜伝説ヴィルガスト 消えた少女,バンダイ / ウィンキーソフト / Bandai / Winkysoft,SHVC-VL,1992-05-23,RPG
Magic Sword,マジックソード,"カプコン, ステイタス / Capcom",SHVC-MD / SNS-MD,1992-05-29 / 1993-01-01,Action / Side Scrolling
Zan 2 Spirits,斬II スピリッツ,ウルフチーム（日本テレネット） / Wolfteam (Telenet Japan),SHVC-ZS,1992-05-29,Strategy
Street Fighter II - The World Warrior,ストリートファイターII,カプコン 格闘 / Capcom,SHVC-S2 / SNS-S2,1992-06-10 / 1992-07-01,Fighting / Hand To Hand
Super Dunk Shot,スーパーダンクショット,ハル研究所 / HAL Laboratory / Sculptured,SHVC-DU,1992-06-19,Sports / Basketball
Super Shougi,スーパーしょうぎ (SUPER 将棋),アイマックス / I'MAX,SHVC-SD,1992-06-19,Table Game / Shougi
Cameltry,キャメルトライ,タイトー / Taito,SHVC-CT,1992-06-26,Action
Yokoyama Mitsuteru - Sangokushi,横山光輝 三国志,エンジェル / Angel,SHVC-3G,1992-06-26,Strategy
Koushien 2,甲子園2,ケイ・アミューズメントリース / K. Amusement Leasing Co.,SHVC-KQ,1992-06-26,Sports / Baseball
Sougou Kakutougi Astral Bout,アストラル バウト 総合格闘技,キングレコード / King Records / A WAVE,SHVC-AB-(KIS-1),1992-06-26,Sports / Wrestling
PGA Tour Golf,PGAツアーゴルフ,"イマジニア / エレクトロニック・アーツ / Imagineer / Electronic Arts, POLYGAMES",SHVC-PG / SNS-PG,1992-07-03 / 1993-01-01,Sports / Golf
Parodius da! Shinwa Kara Owarai he,パロディウスだ！ −神話からお笑いへ−,コナミ / Konami,SHVC-PD,1992-07-03,Shooter / Horizontal
Super Bowling,スーパーボウリング,アテナ / Athena,SHVC-BW / SNS-BW,1992-07-03 / 1992-09-01,Sports / Bowling
Light Fantasy,ライトファンタジー,トンキンハウス（東京書籍） / Tonkin House (Tokyo Shoseki),SHVC-LF,1992-07-03,RPG
Super Off Road,スーパーオフロード,パック・イン・ビデオ / Pack-In-Video / Leland / Tradewest,SHVC-FR / SNS-OR,1992-07-03 / 1991-12-01,Sports / Off Road Racing (競馬)
